"bft_fc_n"	"bft_fc_e"	"bft_fc_o"	"bft_fc_a"	"bft_fc_c"
"MTi01"	1	0	0	0	0
"MTi02"	0	-1	0	0	0
"MTi03"	0	0	0	-1	0
"MTi04"	0	0	0	-1	0
"MTi05"	0	-1	0	0	0
"MTi06"	1	0	0	0	0
"MTi07"	0	-1	0	0	0
"MTi08"	0	0	0	0	-1
"MTi09"	1	0	0	0	0
"MTi10"	0	0	-1	0	0
"MTi11"	0	1	0	0	0
"MTi12"	1	0	0	0	0
"MTi13"	-1	0	0	0	0
"MTi14"	0	1	0	0	0
"MTi15"	0	0	1	0	0
"MTi16"	0	0	0	-1	0
"MTi17"	0	0	-1	0	0
"MTi18"	0	1	0	0	0
"MTi19"	0	0	0	0	1
"MTi20"	0	-1	0	0	0
"MTi21"	0	0	1	0	0
"MTi22"	-1	0	0	0	0
"MTi23"	0	0	1	0	0
"MTi24"	0	0	0	1	0
"MTi25"	0	0	0	1	0
"MTi26"	0	0	0	0	1
"MTi27"	-1	0	0	0	0
"MTi28"	0	1	0	0	0
"MTi29"	-1	0	0	0	0
"MTi30"	0	0	0	0	1
"MTi31"	0	0	0	0	1
"MTi32"	-1	0	0	0	0
"MTi33"	0	1	0	0	0
"MTi34"	-1	0	0	0	0
"MTi35"	0	1	0	0	0
"MTi36"	0	0	0	0	1
"MTi37"	0	0	1	0	0
"MTi38"	0	0	0	0	1
"MTi39"	-1	0	0	0	0
"MTi40"	-1	0	0	0	0
"MTi41"	0	0	0	0	1
"MTi42"	0	0	1	0	0
"MTi43"	-1	0	0	0	0
"MTi44"	0	0	1	0	0
"MTi45"	0	0	0	0	1
"MTi46"	0	0	0	0	1
"MTi47"	-1	0	0	0	0
"MTi48"	0	0	1	0	0
"MTi49"	0	1	0	0	0
"MTi50"	-1	0	0	0	0
"MTi51"	0	0	0	0	1
"MTi52"	0	1	0	0	0
"MTi53"	0	0	-1	0	0
"MTi54"	0	0	0	0	1
"MTi55"	0	0	0	1	0
"MTi56"	0	0	0	0	1
"MTi57"	-1	0	0	0	0
"MTi58"	0	0	0	0	1
"MTi59"	0	0	0	1	0
"MTi60"	0	1	0	0	0
